File,Key,English,Danish,German,Spanish,Italian,Portuguese
delegate/GameStatsDelegate,map_code,Map code: {0},Ø-kode: {0},Kartencode: {0},Código del mapa: {0},Codice mappa: {0},Código do mapa: {0}
delegate/GameStatsDelegate,type,Type,Type,Typ,Tipo,Tipo,Tipo
delegate/GameStatsDelegate,player_header,Player,Spiller,Spieler,Jugador,Giocatore,Jogador
delegate/GameStatsDelegate,next_page,Next >,Næste >,Weiter >,Siguiente >,Avanti >,Próxima >
delegate/GameStatsDelegate,prev_page,< Prev,< Forrige,< Zurück,< Anterior,< Precedente,< Anterior
delegate/MainMenu,resume,Resume,Fortsæt,Fortsetzen,Continuar,Ricomincia,Resumir
delegate/MainMenu,tutorial,Tutorial,Grundkursus,Tutorial,Tutorial,Tutorial,Tutorial
delegate/MainMenu,campaign,Campaign,Felttog,Feldzug,Campaña,Campagna,Campanha
delegate/MainMenu,skirmish,Single player,En spiller,Singleplayermodus,Un Jugador,Giocatore singolo,Um jogador
delegate/MainMenu,multiplayer,Multiplayer,Flere spillere,Multiplayermodus,Multijugador,Multiplayer,Multijogador
delegate/MainMenu,register,Register,Registrer,Registrieren,Registrar,Registra,Registrar
delegate/MainMenu,options,Options,Indstillinger,Optionen,Opciones,Opzioni,Opções
delegate/MainMenu,update,Update,Opdater,Aktualisieren,Actualizar,Aggiorna,Atualizar
delegate/MainMenu,end_game,End game,Afbryd spil,Spiel beenden,Terminar juego,Chiudi gioco,Terminar jogo
delegate/MainMenu,end_tutorial,End tutorial,Afbryd grundkursus,Tutorial beenden,Terminar tutorial,Chiudi tutorial,Terminar tutorial
delegate/MainMenu,end_campaign,End campaign,Afbryd felttog,Feldzug beenden,Terminar campaña,Chiudi campagna,Terminar campanha
delegate/MainMenu,load,Load,Hent,Laden,Cargar,Carica,Carregar
delegate/MainMenu,save,Save,Gem,Speichern,Guardar,Salva,Salvar
delegate/MainMenu,quit,Quit,Afslut,Beenden,Salir,Esci,Sair
delegate/MainMenu,end_game_confirm,Are you sure you want to end this game?,Er du sikker på du vil afbryde spillet?,Möchten Sie dieses Spiel wirklich beenden?,¿Seguro que quieres terminar esta partida?,Sei sicuro di voler terminare il gioco?,Você tem certeza de que quer terminar essa partida?
delegate/MainMenu,game_aborted,Game aborted.,Spil afbrudt.,Spiel wurde abgebrochen.,Juego abortado.,Gioco chiuso.,Jogo abortado.
delegate/MainMenu,objective,OBJECTIVES:,MÅL:,ZIELE:,OBJETIVOS:,Obiettivi:,OBJETIVOS:
delegate/MainMenu,logo_file,/textures/gui/tt_mainform_logo,,/textures/gui/tt_mainform_logo_de,,/textures/gui/tt_mainform_logo,/textures/gui/tt_mainform_logo
delegate/QuitScreen,buy_now,Order now and get:,Bestil nu og få:,"Kaufen Sie jetzt, und Sie erhalten:",Cómpralo ahora y consigue:,Ordina ora per abilitare:,Peça agora e receba:
delegate/QuitScreen,incentive0,- Chieftains with special attacks,- Høvdinge med specialangreb,- Häuptlinge mit ganz besonderen Angriffsstrategien,- Jefes tribales con ataques especiales,- Capi con attacchi speciali,- Chefes com ataques especiais
delegate/QuitScreen,incentive1,- Towers for defending your land,- Tårne til at forsvare dig,"- Türme, mit denen Sie Ihr Land verteidigen können",- Torres para defender tu territorio,- Torri per difendere la tua terra,- Torres para defender sua terra
delegate/QuitScreen,incentive2,- Two new warrior types,- To nye krigertyper,- Zwei neue Kriegerarten,- Dos nuevos tipos de guerreros,- Due nuovi tipi di guerrieri,- Dois novos tipos de guerreiros
delegate/QuitScreen,incentive3,- Two complete campaigns,- Begge felttog,- Den gesamten Feldzug,- La campaña completa,- Due campagne complete,- Duas campanhas completas
delegate/QuitScreen,incentive4,- Your own online player profiles,- Din egen online profil,- Ihre eigenen Onlinespielerprofile,- Tus propios perfiles de juego online,- Il tuo profilo online,- Seu próprio perfil online
delegate/QuitScreen,incentive5,- Four times larger islands,- Fire gange større øer,- Vier mal größere Inseln,- Islas cuatro veces más grandes,- Isole quattro volte più grandi,- Ilhas quatro vezes maiores
delegate/QuitScreen,incentive6,- Harder computer opponents,- Sværere computermodstandere,- Schwierigere Computergegner,- Oponentes con mayor dificultad,- Avversari più forti,- Oponentes mais difíceis
delegate/SelectionDelegate,observer_mode,Observer Mode - Press escape to exit,Tilskuer - Tryk escape for at afslutte,Beobachtermodus - Drücken Sie zum Beenden die ESC-TASTE.,Modo de observación - Pulsa Esc para salir,Modalità osservatore - Premi esc per uscire,Modo Observador - Pressione esc para sair
delegate/TutorialOverDelegate,tutorial_completed,Tutorial {0} is now completed,Kursus {0} er gennemført,Das Tutorial {0} ist abgeschlossen.,El tutorial {0} ha terminado,Il tutorial {0} è completato,O tutorial {0} foi concluído
delegate/TutorialOverDelegate,next_tutorial,Next tutorial,Næste kursus,Nächstes Tutorial,Próximo tutorial,Prossimo tutorial,Próximo tutorial
delegate/TutorialOverDelegate,restart_tutorial,Restart tutorial,Genstart kursus,Tutorial erneut starten,Repetir el tutorial,Ricomincia tutorial,Recomeçar tutorial
delegate/TutorialOverDelegate,main_menu,Main menu,Hovedmenu,Hauptmenü,Menú principal,Menu principale,Menu principal
form/BugReportConfirmForm,confirm_report,"The game will quit now, and the next time you start it, you will be prompted to fill out a bug report form. Continue?","Spillet afsluttes nu, og næste gang du starter, vil du blive bedt om at udfylde en fejlrapport. Fortsæt?","Das Spiel wird nun beendet. Beim nächsten Start werden Sie aufgefordert, einen Fehlerbericht auszufüllen. Möchten Sie fortfahren?","El juego terminará ahora, y la próxima vez que lo arranques se te pedirá que rellenes un informe de error. ¿Continuar?","Il gioco terminerà ora, e al prossimo avvio, ti verrà richiesto di compilare un rapporto di errore. Continuare?","O jogo vai fechar agora, da próxima vez que você rodar o jogo, será pedido para você preencher um formulário de relatório de bug. Continuar?"
form/CampaignForm,delete,Delete,Slet,Löschen,Borrar,Cancella,Apagar
form/CampaignForm,campaign,Campaign,Felttog,Feldzug,Campaña,Campagna,Campanha
form/CampaignForm,new,New Campaign,Nyt felttog,Neuer Feldzug,Nueva campaña,Nuova Campagna,Nova Campanha
form/CampaignForm,load,Load Game,Hent spil,Spiel laden,Cargar partida,Carica Partita,Carregar Partida
form/CampaignForm,failed_message,Error accessing file {0}. Make sure the directory is accessible. ({1}),Fejl under åbning af filen {0}. Sørg for at mappen er tilgængelig. ({1}),"Fehler beim Zugreifen auf Datei {0}. Stellen Sie sicher, dass auf das Verzeichnis zugegriffen werden kann. ({1})",Error accediendo al fichero {0}. Asegúrate que el directorio es accesible. ({1}),Errore di accesso al file {0}. Assicurati che la directory sia accessibile. ({1}),Erro acessando arquivo {0}. Certifique-se de que o diretório está acessível. ({1})
form/CampaignForm,confirm_delete,Are you sure you want to delete {0}?,Er du sikker på du vil slette {0}?,Möchten Sie {0} wirklich löschen?,¿Seguro que quieres borrar {0}?,Vuoi davvero cancellare {0}?,Você tem certeza que quer deletar {0}?
form/ChatErrorForm,chat_error_too_many_users,ERROR: Unable to join room. Too many users.,FEJL: Kunne ikke tilsluttes rummet. For mange brugere.,FEHLER: Raum konnte nicht betreten werden. Zu viele Benutzer.,ERROR: No se puede entrar en la sala. Demasiados jugadores.,ERROR: Impossibile entrare nella stanza. Troppi utenti.,ERRO: Não é possível se juntar à sala. Muitos usuários.
form/ChatErrorForm,chat_error_invalid_name,ERROR: Unable to join room. Invalid name.,FEJL: Kunne ikke tilsluttes rummet. Ugyldigt navn.,FEHLER: Raum konnte nicht betreten werden. Name ungültig.,ERROR: No se puede entrar en la sala. Nombre no válido.,ERROR: Impossibile entrare nella stanza. Nome invalido.,ERRO: Não é possível se juntar à sala. Nome invalido.
form/ChatErrorForm,chat_error_no_such_nick,ERROR: No such nick.,FEJL: Navnet findes ikke.,FEHLER: Nick unbekannt.,ERROR: No hay tal nick.,ERROR: Nick inesistente.,ERRO: Esse apelido não existe.
form/ChatErrorForm,chat_error_spectate_failed,ERROR: Unable to spectate this game.,FEJL: Kan ikke se dette spil.,FEHLER: Dieses Spiel kann nicht als Zuschauer verfolgt werden.,ERROR: No se puede ver este partido como espectador.,ERRORE: Impossibile assistere alla partita.,ERRO: Não é possível assistir essa partida.
form/ConnectingForm,connecting,Connecting to server...,Forbinder til server...,Die Verbindung zum Server wird hergestellt ...,Conectando al servidor...,Connessione al server...,Connectando ao servidor...
form/ConnectingForm,starting,Starting game...,Starter spil...,Das Spiel wird geladen ...,Iniciando la partida...,Inizio partita...,Iniciando a partida...
form/ConnectingForm,connection_lost,Connection to game host lost,Mistede forbindelsen til værten,Die Verbindung zum Spielhost wurde abgebrochen.,Se ha perdido la conexión al anfitrión del juego,Connessione con il server perduta,Conexão ao host do jogo foi perdida
form/CreateChatRoomForm,create_room,Create new chat room,Opret nyt chatrum,Neuen Chatraum erstellen,Crear nueva sala de conversación,Crea nuova stanza,Criar nova sala de chat
form/CreateChatRoomForm,name,Name:,Navn:,Name:,Nombre:,Name:,Nome:
form/CreateChatRoomForm,min_name_error,Name must be at least {0} characters.,Navnet skal være på mindst {0} tegn.,Der Name muss mindestens {0} Zeichen umfassen.,El nombre debe tener al menos {0} caracteres.,Lunghezza minima del nome {0} caratteri.,Nome precisa ter pelo menos {0} caracteres.
form/CreatingProfileForm,creating,Creating...,Opretter...,Profil wird erstellt ...,Creando...,Creazione...,Criando...
form/CreatingProfileForm,username_error_too_many,ERROR: You have too many profiles. Delete a profile before creating a new one.,FEJL: Du har for mange profiler. Slet en profil før du opretter en ny.,"FEHLER: Sie haben zu viele Profile. Löschen Sie ein Profil, bevor Sie ein neues erstellen.",ERROR: Tienes demasiados perfiles. Borra un perfil existente antes de crear uno nuevo.,ERROR: Hai troppi profili. Cancella un profilo prima di crearne uno nuovo.,ERRO: Você possui muitos perfís. Apague um perfil antes de criar um novo.
form/CreatingProfileForm,username_error_already_exists,ERROR: A profile with that name already exists.,FEJL: En profil med det navn eksisterer allerede.,FEHLER: Ein Profil mit diesem Namen besteht bereits.,ERROR: Ya existe un perfil con ese nombre.,ERROR: Esiste già un profilo con lo stesso nome.,ERRO: Um perfil com esse nome já existe.
form/CreatingProfileForm,username_error_invalid_characters,ERROR: Profile name contains invalid characters.,FEJL: Profilnavnet indeholder ugyldige tegn.,FEHLER: Der Profilname enthält ungültige Zeichen.,ERROR: El nombre del perfil contiene caracteres no válidos.,ERROR: Il nome profilo contiene dei caratteri non validi.,ERRO: Nome de perfil contêm caracteres inválidos.
form/CreatingProfileForm,username_error_too_short,ERROR: Profile name too short.,FEJL: Profilnavnet er for kort.,FEHLER: Der Profilname ist zu kurz.,ERROR: El nombre del perfil es demasiado corto.,ERROR: Nome profilo troppo corto.,ERRO: Nome de perfil muito curto.
form/CreatingProfileForm,username_error_too_long,ERROR: Profile name too long.,FEJL: Profilnavnet er for langt.,FEHLER: Der Profilname ist zu lang.,ERROR: El nombre del perfil es demasiado largo.,ERROR: Nome profilo troppo lungo.,ERRO: Nome de perfil muito comprido.
form/CreatingProfileForm,profile_error_guest,ERROR: Profile name can not start with {0},FEJL: Profilnavnet må ikke starte med {0},FEHLER: Der Profilname darf nicht mit {0} beginnen.,ERROR: El nombre del perfil no puede empezar por {0},ERROR: Il nome profilo non può iniziare con {0},ERRO: Nome de perfil não pode começar com {0}
form/CreditsForm,about,About,Om,Info,Acerca de,About,Sobre
form/CreditsForm,credits,Credits,Udviklere,Credits,Créditos,Credits,Créditos
form/CreditsForm,thanks_to,Thanks to,Tak til,Danke an,Agradecimientos a,Ringraziamenti,Obrigado para
form/CreditsForm,about_text,"Tribal Trouble - Revision {0}
Copyright © 2001-2007 Oddlabs ApS. All rights reserved.

","Tribal Trouble - Revision {0}
Copyright © 2001-2007 Oddlabs ApS. Alle rettigheder forbeholdt.

","Tribal Trouble - Revision {0}
Copyright © 2001-2007 Oddlabs ApS. Alle Rechte vorbehalten.

","Tribal Trouble - Revisión {0}
Copyright © 2001-2007 Oddlabs ApS. Todos los derechos reservados.","Tribal Trouble - Revisione {0}
Copyright © 2001-2007 Oddlabs ApS. Tutti i diritti riservati.

","Tribal Trouble - Revisão {0}
Copyright © 2001-2007 Oddlabs ApS. Todos os direitos reservados.

"
form/CreditsForm,game_design_and_programming,GAME DESIGN & PROGRAMMING,SPILDESIGN & PROGRAMMERING,DESIGN & PROGRAMMIERUNG,DISEÑO DEL JUEGO Y PROGRAMACIÓN,GAME DESIGN & PROGRAMMAZIONE,DESIGN DE JOGO & PROGRAMAÇÃO
form/CreditsForm,3d_artwork_and_animation,3D ARTWORK & ANIMATION,3D GRAFIK & ANIMATION,3D-ART & ANIMATION,ANIMACIÓN Y DISEÑO 3D,3D ARTWORK & ANIMAZIONE,ARTE 3D & ANIMAÇÃO
form/CreditsForm,audio,AUDIO,LYD,AUDIO,AUDIO,AUDIO,ÁUDIO
form/CreditsForm,thanks,THANKS,TAK,DANKE,AGRADECIMIENTOS,RINGRAZIAMENTI,OBRIGADO
form/CreditsForm,oddlabs_thanks,Oddlabs would like to thank the following persons (in no particular order) for their assistance:,Oddlabs vil gerne takke følgende personer (i tilfældig rækkefølge) for deres hjælp:,Oddlabs möchte folgenden Personen (in zufälliger Reihenfolge) für ihre Hilfe danken:,Oddlabs quiere agradecer a las siguiente personas (sin un orden en particular) por su ayuda prestada:,Oddlabs vuole ringraziare le seguenti persone (in ordine sparso) per il loro aiuto:,Oddlabs gostaria de agradecer as seguintes pessoas (sem ordem em particular) pela sua ajuda:
form/CreditsForm,beta_thank,"A big thanks to all of our beta testers, especially:","En stor tak til alle vores betatestere, specielt:","Ein riesengroßes Dankeschön auch an all unsere Betatester, besonders an:","Muchas Gracias a todos nuestros betatesters, especialmente:","Un grande ringraziamento a tutti i nostri beta tester, specialmente:","Um grande obrigado para todos os nossos testadores da beta, especialmente:"
form/CreditsForm,additional_thanks,...and thanks to all those we forgot!,...og tak til alle dem vi har glemt!,"... und natürlich danke an alle, die wir vergessen haben!",...y gracias también a todos los que nos hemos dejado en el tintero!,...e grazie a tutti coloro che non sono stati menzionati!,...e obrigado a todos que nós esquecemos!
form/CreditsForm,special_thanks,SPECIAL THANKS,SÆRLIG TAK,BESONDERER DANK,AGRADECIMIENTOS ESPECIALES,RINGRAZIAMENTI SPECIALI,AGRADECIMENTOS ESPECIAIS
form/CreditsForm,special_thanks_text,Our very special thanks go out to:,Særlig tak til:,Unser besonderer Dank gilt:,Nuestro agradecimiento especial para:,I nostri speciali ringraziamenti a:,Nossos agradecimentos muito especiais vão para:
form/DisplayChangeForm,warning_message,"Changing video mode while the game is running can cause problems with some graphics drivers.

Choose Later to make the changes take effect the next time you start the game (recommended).
Choose Now to make the changes take effect immediately.","At skifte skærmopsætning mens spillet kører kan skabe problemer med nogle grafikkortdrivere.

Vælg ""Senere"" for at ændringerne forekommer næste gang, du starter spillet (anbefalet).
Vælg ""Nu"" for at skifte med det samme.","Eine Änderung des Videomodus während des Spiels kann bei einigen Grafiktreibern zu Problemen führen.

Klicken Sie auf ''Später'', damit die Änderungen beim nächsten Starten des Spiels übernommen werden (empfohlen).
Klicken Sie auf ''Jetzt'', damit die Änderungen sofort übernommen werden.","Cambiar el modo de vídeo mientras estas jugando puede causar problemas con algunos drivers gráficos

Elije ""Después"" para que los cambios se apliquen la próxima vez que arranques el juego (recomendado).
Elije ""Ahora"" para aplicar los cambios inmediatamente.","Cambiare il modo video durante il gioco può causare problemi con alcune schede grafiche.

Scegli Dopo perchè i cambiamenti abbiano effetto al prossimo riavvio del gioco (raccomandato).
Scegli Adesso perchè i cambiamenti abbiano effetto immediatamente.","Alterar o modo de vídeo enquanto o jogo está rodando pode causar problemas com alguns drivers gráficos.

Escolha Depois para fazer com que as mudanças tenham efeito na próxima vez que iniciar o jogo. (recomendado).
Escolha Agora para fazer com que as mudanças tenham efeito imediatamente."
form/DisplayChangeForm,now,Now,Nu,Jetzt,Ahora,Adesso,Agora
form/DisplayChangeForm,later,Later,Senere,Später,Después,Dopo,Depois
form/GameInfoForm,game_info,Game info,Spilinfo,Info zum Spiel,Resumen,Info Gioco,Informação da partida
form/GameInfoForm,name,Game name:,Spilnavn:,Name des Spiels:,Nombre de la Partida:,Nome Gioco:,Nome da partida:
form/GameInfoForm,size,Size:,Størrelse:,Größe:,Tamaño:,Dimensioni:,Tamanho:
form/GameInfoForm,terrain_type,Terrain type:,Terræntype:,Geländeart:,Tipo de Terreno:,Tipo di terreno:,Tipo de terreno:
form/GameInfoForm,hills,Hills:,Bakker:,Hügel:,Colinas:,Colline:,Colinas:
form/GameInfoForm,trees,Trees:,Træer:,Bäume:,Árboles:,Alberi:,Árvores:
form/GameInfoForm,supplies,Resources:,Ressourcer:,Ressourcen:,Recursos:,Risorse:,Recursos:
form/GameInfoForm,rated,Rated:,Ligaspil,Gewertet:,Puntuado,Voto:,Ranqueada:
form/GameInfoForm,gamespeed,Gamespeed:,Hastighed:,Tempo:,Velocidad del Juego:,Velocità:,Velocidade do jogo:
form/GameInfoForm,mapcode,Mapcode:,Ø-kode:,Kartencode:,Código de mapa:,Codice Mappa:,Código do mapa:
form/GameMenu,game_caption,Game,Spil,Spiel,Partida,Gioco,Partida
form/GameMenu,rated,[Rated],[Ligaspil],[Gewertet],[Puntuado],[Voto],[Ranqueada]
form/GameMenu,game,Game:,Spil:,Spiel:,Partida:,Gioco:,Partida:
form/GameMenu,chat,Chat:,Chat:,Chat:,Charla:,Chat:,Chat:
form/GameMenu,send,Send,Send,Senden,Enviar,Invia,Enviar
form/GameMenu,start,Start,Start,Start,Comenzar,Inizio,Iniciar
form/GameMenu,ready,Ready,Klar,Bereit,Listo,Pronto,Pronto
form/GameMenu,cancel,Cancel,Annuller,Abbrechen,Cancelar,Cancella,Cancelar
form/GameMenu,info,Game info,Spilinfo,Info zum Spiel,Resumen,Info Gioco,Informação da partida
form/GameMenu,rating,Rating,Ligapoint,Einstufung,Puntos,Voto,Pontos
form/GameMenu,hard_unavailable,Hard AI players are unavailable in this demo version of Tribal Trouble.,Svære computerspillere er ikke tilgængelige i denne demonstrationsudgave af Tribal Trouble.,In der Demoversion von Tribal Trouble stehen keine schwierigen KI-Spieler zur Verfügung.,Los jugadores IA Difícil no están accesibles en esta versión demostración de Tribal Trouble.,Modalità Difficile non disponibile nella versione demo di Tribal Trouble.,Jogadores de IA difíceis estão indisponíveis nessa versão de demonstração de Tribal Trouble.
form/GameMenu,rating_change_message,"If your team wins you gain {0} in rating, otherwise you lose {1} in rating.","Hvis dit hold vinder, får du {0} ligapoint, ellers taber du {1} ligapoint.","Wenn Ihr Team gewinnt, steigt Ihre Einstufung um {0}, andernfalls sinkt sie um {1}.","Si tu equipo gana, tu ganas {0} puntos, de lo contrario pierdes {1} puntos.","Se il tuo team vince guadagni {0} in voti, altrimenti perdi {1} in voti.","Se sua equipe vencer, você ganha {0} pontos, caso contrário você perde {1} pontos."
form/GameMenu,open,Open,Åben,Geöffnet,Abierto,Aperto,Aberto
form/GameMenu,closed,Closed,Luk,Niemand,Cerrado,Chiuso,Fechado
form/GameMenu,easy_ai,Easy AI,Let computer,Einfache KI,IA Fácil,Facile,IA Fácil
form/GameMenu,normal_ai,Normal AI,Normal computer,Normale KI,IA Normal,Normale ,IA Normal
form/GameMenu,hard_ai,Hard AI,Svær computer,Starke KI,IA Difícil,Difficile,IA Difícil
form/GameMenu,team,Team {0},Hold {0},Team {0},Equipo {0},Team {0},Equipe {0}
form/GameMenu,player,Player {0}:,Spiller {0}:,Spieler {0}:,Jugador {0}:,Giocatore {0}:,Jogador {0}:
form/GameMenu,connection_lost,Connection to game host lost,Mistede forbindelsen til værten,Die Verbindung zum Spielhost wurde abgebrochen.,Perdida la conexión al anfitrión de la partida,Connessione persa con il server,Conexão ao host do jogo foi perdida
form/GameMenu,left_game,{0} has left the game.,{0} har forladt spillet.,{0} hat das Spiel verlassen.,{0} ha salido de la partida.,{0} ha lasciato il gioco.,{0} saiu da partida.
form/GameMenu,joined_game,{0} has joined the game.,{0} har tilsluttet sig til spillet,{0} ist dem Spiel beigetreten.,{0} se ha unido a la partida,{0} si è unito al gioco.,{0} se juntou à partida.
form/GameMenu,min_teams,There must be at least {0} teams in the game.,Der skal være mindst {0} hold i spillet.,Es müssen mindestens {0} Teams im Spiel sein.,Debe haber al menos {0} equipos en la partida.,Ci devono essere almeno {0} team nel gioco.,Precisam-se ter no mínimo {0} equipes na partida.
form/InGameChatForm,chat,Chat,Chat,Chat,Charla,Chatta,Chat
form/InGameChatForm,send,Send,Send,Senden,Enviar,Invia,Enviar
form/InGameChatForm,send_to_all,Send to all,Send til alle,An alle senden,Enviar a todos,Invia a tutti,Enviar para todos
form/InGameChatForm,send_to_team,Send to team,Send til holdet,An Team senden,Enviar al equipo,Invia al team,Enviar para a equipe
form/InGameChatForm,normal_chat,{0}:,{0}:,{0}:,{0}:,{0}:,{0}:
form/InGameChatForm,team_chat,TEAM {0}:,HOLD {0}:,TEAM {0},EQUIPO {0}:,TEAM {0}:,EQUIPE {0}:
form/InGameChatForm,private_chat,PRIVATE {0}:,PRIVAT {0}:,PRIVAT {0}:,PRIVADO {0}:,PRIVATO {0}:,PRIVADO {0}:
form/InfoForm,profile,Profile info,Profilinformation,Profilinfo,Información del Perfil,Info profilo,Informação do perfil
form/InfoForm,name,Name:,Navn:,Name:,Nombre:,Nome:,Nome:
form/InfoForm,rating,Rating:,Ligapoint:,Einstufung:,Puntuación:,Voto:,Pontuação:
form/InfoForm,wins,Wins:,Sejre:,Siege:,Victorias:,Vittorie:,Vitórias:
form/InfoForm,losses,Losses:,Nederlag:,Niederlagen:,Derrotas:,Sconfitte:,Derrotas:
form/InfoForm,invalid,Invalid:,Ugyldige:,Ungültig:,No Válidas:,Invalide:,Inválido:
form/LoginForm,login_caption,Login,Login,Login,Registro,Login,Login
form/LoginForm,username,Username:,Brugernavn:,Benutzername:,Nombre de usuario:,Utente:,Nome de usuário:
form/LoginForm,password,Password:,Kodeord:,Kennwort:,Contraseña:,Password:,Senha:
form/LoginForm,remember_login,Remember login,Husk login,Login speichern,Recordar datos de registro,Ricorda utente,Lembrar login
